pattern_id,name,permalink,published,free,price,currency,craft,pattern_categories,yarn_weight,yarn_weight_description,gauge,row_gauge,gauge_description,yardage,yardage_max,yardage_description,projects_count,favorites_count,queued_projects_count,difficulty_average,rating_average,rating_count,downloadable
476370,Sweater Weather,sweater-weather,,False,,,,null,,,,,,,,,,,,,,,
509731,Sweater,sweater-124,,False,,,,null,,,,,,,,,,,,,,,
545106,Sweater with Leaves Patterns,sweater-with-leaves-patterns,,True,,,,null,,,,,,,,,,,,,,,
545720,Sweater Cape,sweater-cape,,False,,,,null,,,,,,,,,,,,,,,
702802,Sweater in two colors,sweater-in-two-colors,,False,,,,null,,,,,,,,,,,,,,,
707437,Sweater med stjerner,sweater-med-stjerner,,True,,,,null,,,,,,,,,,,,,,,
766664,Sweater,sweater-156,,False,,,,null,,,,,,,,,,,,,,,
814333,Sweater med grafisk mønster,sweater-med-grafisk-mnster,,True,,,,null,,,,,,,,,,,,,,,
821310,Sweater med påfuglemønster,sweater-med-pafuglemnster,,True,,,,null,,,,,,,,,,,,,,,
884220,Sweater in Zigzag (2423BC),sweater-in-zigzag-2423bc,,True,,,,null,,,,,,,,,,,,,,,
884217,Sweater Pulli Jersey No. 113-T14-127,sweater-pulli-jersey-no-113-t14-127,,True,,,,null,,,,,,,,,,,,,,,
877694,Sweater for Martin Matte Foundation,sweater-for-martin-matte-foundation,,True,,,,null,,,,,,,,,,,,,,,
879410,Sweater on the Diagonal,sweater-on-the-diagonal,,False,,,,null,,,,,,,,,,,,,,,
1007895,Sweater No. 3,sweater-no-3,,False,,,,null,,,,,,,,,,,,,,,
1020411,Sweater JOSY - No.235,sweater-josy---no235,,False,,,,null,,,,,,,,,,,,,,,
1057348,Sweater from Aaseral,sweater-from-aaseral,,False,,,,null,,,,,,,,,,,,,,,
1073815,Sweater,sweater-210,,False,,,,null,,,,,,,,,,,,,,,
1062016,Sweater med mønster,sweater-med-mnster,,False,,,,null,,,,,,,,,,,,,,,
1125279,Sweater Jakt,sweater-jakt,,False,,,,null,,,,,,,,,,,,,,,
1116495,Sweater Edith,sweater-edith-2,,False,,,,null,,,,,,,,,,,,,,,
1132837,Sweater of the year / Årets genser,sweater-of-the-year---arets-genser,,False,,,,null,,,,,,,,,,,,,,,
1180341,Sweater 10309,sweater-10309,,False,,,,null,,,,,,,,,,,,,,,
1181423,Sweater & Scarf 10298,sweater--scarf-10298,,False,,,,null,,,,,,,,,,,,,,,
1169444,Sweater Bombay CC.,sweater-bombay-cc,,False,,,,null,,,,,,,,,,,,,,,
1181383,Sweater 10301,sweater-10301,,False,,,,null,,,,,,,,,,,,,,,
1181418,Sweater 10296,sweater-10296,,False,,,,null,,,,,,,,,,,,,,,
1162711,Sweater Pico SP,sweater-pico-sp,,False,,,,null,,,,,,,,,,,,,,,
1220140,Sweater Sweater,sweater-sweater,,False,,,,null,,,,,,,,,,,,,,,
1180351,Sweater 10311,sweater-10311,,False,,,,null,,,,,,,,,,,,,,,
1232305,Sweater «Annett»,sweater-annett,,False,,,,null,,,,,,,,,,,,,,,
1273408,Sweater VACATIONS,sweater-vacations,,False,,,,null,,,,,,,,,,,,,,,
